대학코드	모집정원	학과코드	계열	학과명	수시 경쟁률	정시 경쟁률
0000205	21	U013219	예체능계열	음악예술학부	0 : 1	0 : 1
0000132	142	0223641	인문사회계열	인문융합자율학부	3.53 : 1	6.35 : 1
0000132	161	0223640	인문사회계열	사회융합자율학부	6.58 : 1	4.83 : 1
0000132	80	0230970	인문사회계열	미디어콘텐츠융합자율학부	5.11 : 1	5.17 : 1
0000132	146	0223642	공학계열	IT융합자율학부	3.4 : 1	4.84 : 1
0000133	309	0010961	인문사회계열	인문과학계열	29.73 : 1	3.9 : 1
0000133	30	0017359	인문사회계열	유학・동양학과	8.43 : 1	0 : 1
0000133	12	0018689	인문사회계열	국어국문학과	11.58 : 1	0 : 1
0000133	12	0012516	인문사회계열	프랑스어문학과	13.67 : 1	0 : 1
0000133	12	0018572	인문사회계열	독어독문학과	10.17 : 1	0 : 1
0000133	12	0013053	인문사회계열	러시아어문학과	8.83 : 1	0 : 1
0000133	20	0013246	인문사회계열	한문학과	7.95 : 1	0 : 1
0000133	12	0017744	인문사회계열	사학과	12 : 1	0 : 1
0000133	12	0012427	인문사회계열	철학과	8.17 : 1	0 : 1
0000133	349	0016591	인문사회계열	사회과학계열	37.71 : 1	4.88 : 1
0000136	38	0015103	인문사회계열	국어국문학과	9.82 : 1	5.64 : 1
0000136	60	0012191	인문사회계열	영어영문학과	12.86 : 1	4.67 : 1
0000136	26	0221734	인문사회계열	독일어문·문화학과	11.16 : 1	9.88 : 1
0000136	26	0222201	인문사회계열	프랑스어문·문화학과	11.32 : 1	5.44 : 1
0000136	44	0221732	인문사회계열	일본어문·문화학과	10.58 : 1	5.64 : 1
0000136	45	0221731	인문사회계열	중국어문·문화학과	12.13 : 1	6.5 : 1
0000136	26	0016443	인문사회계열	사학과	10.74 : 1	4.75 : 1
0000136	35	0018238	인문사회계열	정치외교학과	11.04 : 1	4.83 : 1
0000136	38	0012859	인문사회계열	심리학과	13.21 : 1	4.27 : 1
0000136	32	0023056	인문사회계열	지리학과	9.78 : 1	5.6 : 1
0000138	27	0017296	인문사회계열	국어국문학과	16.79 : 1	12.13 : 1
0000138	113	0211988	인문사회계열	국제학부	22.64 : 1	6.53 : 1
0000138	18	0019696	인문사회계열	역사학과	19.08 : 1	7.4 : 1
0000138	29	0012923	인문사회계열	교육학과	18.31 : 1	8.92 : 1
0000138	35	0018615	인문사회계열	행정학과	18.15 : 1	6.5 : 1
0000138	42	0223450	인문사회계열	미디어커뮤니케이션학과	28.28 : 1	6.46 : 1
0000138	136	0013927	인문사회계열	경영학부	22.94 : 1	6.77 : 1
0000138	44	0230429	인문사회계열	경제학과	17.36 : 1	5.58 : 1
0000138	132	0012714	인문사회계열	호텔관광외식경영학부	21.01 : 1	5.94 : 1
0000138	65	0207637	인문사회계열	호텔외식관광프랜차이즈경영학과	1 : 1	0 : 1
0000141	63	0011275	인문사회계열	한국어문학부	16.73 : 1	3.3 : 1
0000141	33	0013015	인문사회계열	역사문화학과	18.65 : 1	3.57 : 1
0000141	30	0032661	인문사회계열	프랑스언어・문화학과	18 : 1	3.58 : 1
0000141	74	0020091	인문사회계열	중어중문학부	18.67 : 1	5.54 : 1
0000141	25	0028128	인문사회계열	독일언어・문화학과	15.36 : 1	13 : 1
0000141	35	0015528	인문사회계열	일본학과	15.54 : 1	3.44 : 1
0000141	58	0016660	인문사회계열	문헌정보학과	17.62 : 1	4.71 : 1
0000141	37	U000432	인문사회계열	문화관광학전공	16.77 : 1	4 : 1
0000141	34	U000433	인문사회계열	르꼬르동블루외식경영전공	15.96 : 1	5.5 : 1
0000141	50	0013509	인문사회계열	교육학부	22.25 : 1	5.7 : 1
0000143	33	0011537	인문사회계열	기독교학과	5.36 : 1	0 : 1
0000143	34	0015706	인문사회계열	국어국문학과	18 : 1	5.64 : 1
0000143	82	0013182	인문사회계열	영어영문학과	15.57 : 1	5.68 : 1
0000143	34	0012830	인문사회계열	독어독문학과	12.75 : 1	6.27 : 1
0000143	33	0012965	인문사회계열	불어불문학과	13.95 : 1	8.67 : 1
0000143	32	0012564	인문사회계열	중어중문학과	14.63 : 1	5.14 : 1
0000143	38	0211887	인문사회계열	일어일문학과	15.39 : 1	7.62 : 1
0000143	36	0014959	인문사회계열	철학과	14.56 : 1	7.75 : 1
0000143	34	0010604	인문사회계열	사학과	14.74 : 1	7.92 : 1
